,economic growth,recession,GDP,inflation,deflation,unemployment,interest rate,exchange rate,monetary policy,fiscal policy,financial crisis,banking crisis,credit crunch,liquidity crisis,sovereign debt crisis,market crash,stock market crash,bear market,volatility,VIX,stock market,equities,bonds,commodities,oil price,gold price,exchange rate volatility,geopolitical risk,war,terrorism,sanctions,oil shock,market sentiment,investor sentiment,fear index,panic,uncertainty,risk aversion
financial crisis,0.16448245106876697,0.6375746191635098,0.18691894206209975,0.1302633069238522,0.6619339413061311,0.13437895942185843,0.010172820599732773,0.29069771984286025,0.1474235994543115,0.2332588312200031,1.0,0.6157602792852099,0.8204042864376133,0.5760664932603932,0.2299121018638158,0.17463223559717253,0.2063280002058678,0.2660774864310898,0.21843237508728314,0.019372488912921145,0.21698717143198423,0.068158317145231,0.1241841921987514,0.3528392317843447,0.25240439756704874,0.07689249145013455,,,0.2390674818160339,-0.005291230608093112,0.1455023562361781,0.20755598238175388,0.19253672655889292,0.2036799644066277,-0.011935574666080919,-0.009528976543561996,0.2358998022315229,0.1960320914296086
banking crisis,0.32294598639556416,0.41359387699670863,0.3174410398074299,0.3075091708556128,0.328771899574571,-0.05755086829237999,0.22808069636605616,0.3170394157371186,0.23696203446293987,0.29218996938634595,0.6157602792852099,1.0,0.4777574843940963,0.47264080217460436,0.17044880126904408,0.19907635405805404,0.1688659249134525,0.25771260240093996,0.3124209525205889,0.19940157486112658,0.21622290835916058,0.1592551177301082,0.14643994588735246,0.22340330314892876,0.2948441054003543,0.196758905155868,,,0.18313936179804163,0.04256821429919628,0.2676295290305785,0.2622623267260322,0.285770323629887,0.29290054820539635,0.11397342879813882,-0.07287233829716162,0.3358449198157732,0.25021288027031907
credit crunch,-0.07083070406053475,0.5738013081971992,-0.0607352381995378,-0.033796527539456826,0.5623540148312518,0.06361535269914345,-0.13291462299394127,0.15290517848576438,-0.06444542948406484,-0.026014737805198373,0.8204042864376133,0.4777574843940963,1.0,0.4375660770599991,-0.019060568087679183,0.02580990206511667,0.13865930383824604,0.11127756690968026,-0.026607302814652827,-0.13384677782546098,0.056773957902504876,-0.03508542745837775,0.15766791755258044,0.44442660578616017,0.04811585341052556,-0.15496137932442364,,,0.20858417036803004,0.003771333284060363,-0.11858532850995625,-0.024925525712948607,-0.04545685599778914,-0.03347494492990414,-0.1563046562348393,0.12968886077092576,-0.06036961107100858,-0.037038662946734933
liquidity crisis,0.6494854928119712,0.4264511074663283,0.6620824217321439,0.6069147469193058,0.37855042985129445,0.008221409374609025,0.5036337455858635,0.6088155473182091,0.5498854524615298,0.6735117123773005,0.5760664932603932,0.47264080217460436,0.4375660770599991,1.0,0.25828938246455,0.5200545018550693,0.3428058134700768,0.6313123371794638,0.7749083284695848,0.4403874057565489,0.6022404524555742,0.5814780676844049,0.3380108240852499,0.3745946374439994,0.6961342401416445,0.5230392144215927,,,0.27172929757222486,0.023224665788442792,0.646765963915046,0.656935504422306,0.6987661122728694,0.7118923329033849,0.38551063053008333,0.08564766650511642,0.7224448329211455,0.5638025168369474
sovereign debt crisis,0.2699012842591272,0.08333976411879909,0.199357170002305,0.16525930844821013,0.0801937254136475,0.041722388859936684,0.030965508836087733,0.1259032515658534,0.19176735180490345,0.3773697677649265,0.2299121018638158,0.17044880126904408,-0.019060568087679183,0.25828938246455,1.0,0.03580020543040839,-0.034536071871572885,0.16420682318687954,0.31524841362375333,0.10523872968138963,0.07530531570677272,0.15236836689504252,0.05269632800889313,0.18380228898430165,0.23035235875361934,0.18025624271284083,,,0.09888312249959806,-0.014568700741845941,0.2508190551777479,0.3864823980697165,0.26815891834544936,0.2741362993760215,0.062901996850498,-0.020978148090435036,0.3930910202295597,0.34716447426580105
market crash,0.5644781789368135,0.3444343240250455,0.6513461769215743,0.6354965911081284,0.10754887813224868,0.11293128939604519,0.6572071693374537,0.3290232119646251,0.5089192699921332,0.42566339780976986,0.17463223559717253,0.19907635405805404,0.02580990206511667,0.5200545018550693,0.03580020543040839,1.0,0.8413043995995213,0.771290566100971,0.5691748689691682,0.6354556417419722,0.892169468991309,0.40093346179141204,0.18161152064344868,0.07896429260288847,0.5998310354168802,0.6625640602313083,,,0.06044389166324127,-0.10181720101275407,0.5776351403276261,0.39260404137389093,0.522051438332317,0.496978802450347,0.6399208950517992,-0.11138842250132924,0.5197784583843431,0.36424716859859485
stock market crash,0.3769916711876302,0.23998688528266449,0.33794411642349237,0.27744677360840936,0.14303920288174732,0.10494987871110979,0.28360095816776437,0.23680613103952208,0.3044855656344254,0.19596827957452279,0.2063280002058678,0.1688659249134525,0.13865930383824604,0.3428058134700768,-0.034536071871572885,0.8413043995995213,1.0,0.5055854969014159,0.29848902676442673,0.3179212028895098,0.6839441774473177,0.29917592705991614,0.3104011504065878,0.22551176009327092,0.2979010070279361,0.2837800964596364,,,0.24798452111483124,0.16269476157971285,0.24147208487457789,0.1983949881864565,0.21566981185578277,0.19283974782478017,0.27134677451605244,0.04704344590552473,0.26701033096829463,0.19772639019144167
bear market,0.5744364340321666,0.548548383894228,0.6827295024138471,0.7389667224953634,0.1945844203067412,0.08212083116023652,0.6847019830712938,0.4070473924285578,0.5595682676754992,0.5779881644204643,0.2660774864310898,0.25771260240093996,0.11127756690968026,0.6313123371794638,0.16420682318687954,0.771290566100971,0.5055854969014159,1.0,0.6643084874000152,0.6422256795765979,0.8321257532457494,0.40458109878053233,0.12488282889738724,0.13870515066427058,0.7027650021205322,0.6562943314637024,,,0.03453006451291538,-0.1869733993793607,0.6368065164380978,0.4935517676321454,0.6303128747736801,0.6088329077031879,0.6579082813254576,-0.045818757278025174,0.629669144664756,0.44470556827327057
volatility,0.8682128657522824,0.17116903629088706,0.8938868958612487,0.8071726308328557,0.13560733093975202,-0.0416817606547945,0.6906009106906441,0.7308121193835962,0.7687220953584494,0.8513440608549055,0.21843237508728314,0.3124209525205889,-0.026607302814652827,0.7749083284695848,0.31524841362375333,0.5691748689691682,0.29848902676442673,0.6643084874000152,1.0,0.6038735901849381,0.6431921536205064,0.7762972186484501,0.3491643992753901,0.26247709915365924,0.8026088046299243,0.7161633164490194,,,0.28418733021062503,0.08172905742344021,0.8691842466395505,0.7752841628423174,0.9244339476530998,0.9240527875720174,0.5990130631927411,0.04522597854966169,0.8956025070962732,0.6999187072832901
VIX,0.5322420105126542,0.3263650853532863,0.756762804804116,0.8036902985717576,0.022144565673095296,-0.049234527164555154,0.889721646943178,0.21685450131558628,0.47683704633740853,0.485010273032055,0.019372488912921145,0.19940157486112658,-0.13384677782546098,0.4403874057565489,0.10523872968138963,0.6354556417419722,0.3179212028895098,0.6422256795765979,0.6038735901849381,1.0,0.7132312442436571,0.31537470451118943,0.001474851078289273,-0.1412152345555459,0.6216089669242316,0.7776469639091533,,,-0.10215536441055789,-0.32551729764793613,0.6374071132927708,0.4517969305359067,0.6252737135218444,0.5679557457121465,0.7885213140930473,-0.28971122870996985,0.6001360862680087,0.4000540309203376
stock market,0.5488019115675655,0.44334220365705895,0.7214287590941532,0.655672083503676,0.1555593181807799,0.25836921366482474,0.7460157711482326,0.3385946173191926,0.49140804228257606,0.4960758388136338,0.21698717143198423,0.21622290835916058,0.056773957902504876,0.6022404524555742,0.07530531570677272,0.892169468991309,0.6839441774473177,0.8321257532457494,0.6431921536205064,0.7132312442436571,1.0,0.39382502790922314,0.11291030491239622,0.04896893123053379,0.6966371063688316,0.7684275313318499,,,-0.018382187699593353,-0.2018411676245342,0.6318306387604613,0.4576127781803577,0.6137730006999252,0.5811807327213601,0.6835874372712563,-0.10729388954067222,0.5890716041253848,0.3952568835223338
equities,0.784224089617289,-0.06766732301178068,0.6455224728871742,0.572838049240325,0.025824443035449157,-0.14749626195306426,0.40163484152301493,0.7329123347132038,0.625606779226248,0.5976094286473939,0.068158317145231,0.1592551177301082,-0.03508542745837775,0.5814780676844049,0.15236836689504252,0.40093346179141204,0.29917592705991614,0.40458109878053233,0.7762972186484501,0.31537470451118943,0.39382502790922314,1.0,0.7174060344526564,0.5152783485654698,0.42586305499080823,0.3487931492576962,,,0.5114792313670735,0.4395650654995867,0.5941517105614775,0.47683983336040847,0.6759870248259247,0.6860763752628946,0.3073384687588661,0.38364602392921904,0.6760922862669017,0.5496765726566738
bonds,0.5205997291402992,-0.015119806104434556,0.276514371690275,0.2647096925989225,0.10693544552500074,-0.11336238122061346,0.02770715280154676,0.4486278237897224,0.3269054033595121,0.21565241271742433,0.1241841921987514,0.14643994588735246,0.15766791755258044,0.3380108240852499,0.05269632800889313,0.18161152064344868,0.3104011504065878,0.12488282889738724,0.3491643992753901,0.001474851078289273,0.11291030491239622,0.7174060344526564,1.0,0.737696364467767,0.04144494756169294,-0.08073798640632973,,,0.684518268487242,0.6512173197229422,0.15393699645496775,0.1696913587474114,0.21655606321700335,0.2241732600597478,-0.011163910731884693,0.45663299637496707,0.3173788465705904,0.29461314680240186
commodities,0.3408759046024446,0.17720113512748611,0.12707714687651403,0.14267502450574754,0.24829593912783363,-0.019789234340319144,-0.1389755881645553,0.4114786153331334,0.19604965283682724,0.18616017023953188,0.3528392317843447,0.22340330314892876,0.44442660578616017,0.3745946374439994,0.18380228898430165,0.07896429260288847,0.22551176009327092,0.13870515066427058,0.26247709915365924,-0.1412152345555459,0.04896893123053379,0.5152783485654698,0.737696364467767,1.0,0.09105695305549895,-0.14197641987175988,,,0.6057117892177578,0.5058774362587728,0.0773379384885808,0.16782467323457073,0.11353449827103064,0.14018909411751984,-0.14554979209224814,0.49547956197965687,0.22594952203059085,0.24517204001411524
oil price,0.6142792959685788,0.3389508512729052,0.7395554133591307,0.7381349936439593,0.22953594443799236,0.09266021778561409,0.6980624293132576,0.453638135927179,0.5639937600672617,0.7054358056095261,0.25240439756704874,0.2948441054003543,0.04811585341052556,0.6961342401416445,0.23035235875361934,0.5998310354168802,0.2979010070279361,0.7027650021205322,0.8026088046299243,0.6216089669242316,0.6966371063688316,0.42586305499080823,0.04144494756169294,0.09105695305549895,1.0,0.7415198774845093,,,0.10803150404920492,-0.18391792186214004,0.7764712888772245,0.8400034165878882,0.7060266616396806,0.7302675875705701,0.581722383522189,-0.08559050482987537,0.7407535093837004,0.5874936328911039
gold price,0.5913911677554736,0.2622908816787744,0.8262344997760386,0.7583135317576013,0.024764207657202972,0.1537489466872675,0.8622072032785477,0.3136373266118307,0.5926589076269546,0.5861537286369611,0.07689249145013455,0.196758905155868,-0.15496137932442364,0.5230392144215927,0.18025624271284083,0.6625640602313083,0.2837800964596364,0.6562943314637024,0.7161633164490194,0.7776469639091533,0.7684275313318499,0.3487931492576962,-0.08073798640632973,-0.14197641987175988,0.7415198774845093,1.0,,,-0.16249378112410653,-0.3465694058444399,0.767037532816841,0.5431324805379116,0.6969679638612096,0.6711258515759978,0.7743808051354322,-0.30881914560506785,0.6412608870480981,0.5013169981477953
exchange rate volatility,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
geopolitical risk,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
war,0.4189578315433969,0.014767514391387402,0.16641694385195835,0.1328345314519504,0.23321195354382002,-0.14168366532812626,-0.11189703940520228,0.40136464705918606,0.28879323590306016,0.200837957601226,0.2390674818160339,0.18313936179804163,0.20858417036803004,0.27172929757222486,0.09888312249959806,0.06044389166324127,0.24798452111483124,0.03453006451291538,0.28418733021062503,-0.10215536441055789,-0.018382187699593353,0.5114792313670735,0.684518268487242,0.6057117892177578,0.10803150404920492,-0.16249378112410653,,,1.0,0.6476283688789332,0.14435981560381858,0.2719560610637929,0.12558350569116716,0.14635364241058466,-0.15043423537016973,0.3716629638939324,0.24831852784818004,0.33470180302967756
terrorism,0.2835417593332156,-0.2669177708201554,-0.03253480155995513,-0.13576084290335114,0.007004774856114257,-0.17046661538168356,-0.30683422732914084,0.3429819783553064,0.21965313075949536,0.003858493317241947,-0.005291230608093112,0.04256821429919628,0.003771333284060363,0.023224665788442792,-0.014568700741845941,-0.10181720101275407,0.16269476157971285,-0.1869733993793607,0.08172905742344021,-0.32551729764793613,-0.2018411676245342,0.4395650654995867,0.6512173197229422,0.5058774362587728,-0.18391792186214004,-0.3465694058444399,,,0.6476283688789332,1.0,-0.03360767604133259,-0.005263396420264379,-0.023252916695078073,-0.008530881918788025,-0.3245496588545388,0.3627439715423064,0.050940386533358334,0.1436136643155714
sanctions,0.7955891544109831,0.14765605087033876,0.8734400426594143,0.812734706150301,0.06672336130360057,-0.0964819203636765,0.7394520393303363,0.5453818355676311,0.7044396732402213,0.7162415356457003,0.1455023562361781,0.2676295290305785,-0.11858532850995625,0.646765963915046,0.2508190551777479,0.5776351403276261,0.24147208487457789,0.6368065164380978,0.8691842466395505,0.6374071132927708,0.6318306387604613,0.5941517105614775,0.15393699645496775,0.0773379384885808,0.7764712888772245,0.767037532816841,,,0.14435981560381858,-0.03360767604133259,1.0,0.6571162684068967,0.8471482699666347,0.8418114736378546,0.6970875596823153,-0.10390773675293064,0.8179325220351742,0.6186975195516853
oil shock,0.6174153036298838,0.15829067274857878,0.5916820487062051,0.5863667208216462,0.17740249195369195,-0.03208848124094604,0.46898937169785804,0.37512120644496216,0.5055619519804464,0.7588608872468562,0.20755598238175388,0.2622623267260322,-0.024925525712948607,0.656935504422306,0.3864823980697165,0.39260404137389093,0.1983949881864565,0.4935517676321454,0.7752841628423174,0.4517969305359067,0.4576127781803577,0.47683983336040847,0.1696913587474114,0.16782467323457073,0.8400034165878882,0.5431324805379116,,,0.2719560610637929,-0.005263396420264379,0.6571162684068967,1.0,0.6045404916262197,0.6379396468463406,0.36875511865092314,0.009640543272260223,0.7871248852580524,0.6951201411911213
market sentiment,0.7758357252938031,0.1661958158967093,0.8786238422740934,0.7745251509444451,0.09528685738611174,-0.06391988293952588,0.6983090650239681,0.6854890996108282,0.722752898360251,0.6983837357409989,0.19253672655889292,0.285770323629887,-0.04545685599778914,0.6987661122728694,0.26815891834544936,0.522051438332317,0.21566981185578277,0.6303128747736801,0.9244339476530998,0.6252737135218444,0.6137730006999252,0.6759870248259247,0.21655606321700335,0.11353449827103064,0.7060266616396806,0.6969679638612096,,,0.12558350569116716,-0.023252916695078073,0.8471482699666347,0.6045404916262197,1.0,0.9814298225846478,0.6451994356320937,-0.028464032552187938,0.8181588723582168,0.5565834779338215
investor sentiment,0.7550664601941504,0.15455089057997842,0.8501349488756801,0.7562033779714837,0.10314660351615328,-0.04892776146575427,0.6615258094086098,0.6969161110407794,0.7113757911722272,0.6980377571893376,0.2036799644066277,0.29290054820539635,-0.03347494492990414,0.7118923329033849,0.2741362993760215,0.496978802450347,0.19283974782478017,0.6088329077031879,0.9240527875720174,0.5679557457121465,0.5811807327213601,0.6860763752628946,0.2241732600597478,0.14018909411751984,0.7302675875705701,0.6711258515759978,,,0.14635364241058466,-0.008530881918788025,0.8418114736378546,0.6379396468463406,0.9814298225846478,1.0,0.5989884373827631,-0.0007549407108081736,0.8058751713009323,0.5520486988055684
fear index,0.532398862888336,0.2160234439659308,0.7567251892580147,0.8092182851470294,-0.035917205147016004,-0.06134772325604491,0.8242957415876518,0.21464827702120778,0.5306930776199976,0.4736248466759021,-0.011935574666080919,0.11397342879813882,-0.1563046562348393,0.38551063053008333,0.062901996850498,0.6399208950517992,0.27134677451605244,0.6579082813254576,0.5990130631927411,0.7885213140930473,0.6835874372712563,0.3073384687588661,-0.011163910731884693,-0.14554979209224814,0.581722383522189,0.7743808051354322,,,-0.15043423537016973,-0.3245496588545388,0.6970875596823153,0.36875511865092314,0.6451994356320937,0.5989884373827631,1.0,-0.2964663472219636,0.5137321376528778,0.295843327296513
panic,0.0719813688009337,-0.08979765775322958,-0.12571532654759782,-0.11416697722160718,-0.012689468107997722,-0.0910166719321565,-0.24964983483332887,0.17234884584918772,-0.05558357934611443,0.026295097565826486,-0.009528976543561996,-0.07287233829716162,0.12968886077092576,0.08564766650511642,-0.020978148090435036,-0.11138842250132924,0.04704344590552473,-0.045818757278025174,0.04522597854966169,-0.28971122870996985,-0.10729388954067222,0.38364602392921904,0.45663299637496707,0.49547956197965687,-0.08559050482987537,-0.30881914560506785,,,0.3716629638939324,0.3627439715423064,-0.10390773675293064,0.009640543272260223,-0.028464032552187938,-0.0007549407108081736,-0.2964663472219636,1.0,0.020667060010617196,0.029166919382207904
uncertainty,0.8624925851810937,0.1851832582747844,0.8084884961979244,0.7445450382682499,0.16254579478836362,-0.022078498703101593,0.6214607697152734,0.530252039147829,0.6558984772156703,0.8378042705806494,0.2358998022315229,0.3358449198157732,-0.06036961107100858,0.7224448329211455,0.3930910202295597,0.5197784583843431,0.26701033096829463,0.629669144664756,0.8956025070962732,0.6001360862680087,0.5890716041253848,0.6760922862669017,0.3173788465705904,0.22594952203059085,0.7407535093837004,0.6412608870480981,,,0.24831852784818004,0.050940386533358334,0.8179325220351742,0.7871248852580524,0.8181588723582168,0.8058751713009323,0.5137321376528778,0.020667060010617196,1.0,0.7737661549516107
risk aversion,0.682610182257015,0.11205018103290072,0.5846963054241323,0.512792564338804,0.14232284480060134,-0.036639120956022765,0.41011216489796737,0.41388158670704744,0.5662550357743439,0.6587365226730724,0.1960320914296086,0.25021288027031907,-0.037038662946734933,0.5638025168369474,0.34716447426580105,0.36424716859859485,0.19772639019144167,0.44470556827327057,0.6999187072832901,0.4000540309203376,0.3952568835223338,0.5496765726566738,0.29461314680240186,0.24517204001411524,0.5874936328911039,0.5013169981477953,,,0.33470180302967756,0.1436136643155714,0.6186975195516853,0.6951201411911213,0.5565834779338215,0.5520486988055684,0.295843327296513,0.029166919382207904,0.7737661549516107,1.0
